text,category
Employee Data Access Request. An employee has requested access to their personal data stored in our systems. Please provide them with the requested information in compliance with data ,privacy issue
Request for New Monitors. We need to purchase 10 new high-resolution monitors for the design team. Please provide quotes and specifications for monitors that meet their requirements.,purchase requisition
"Email Client Crashing. Our email client is frequently crashing on startup, Investigate and resolve the email client crash issue.",software issue
Slow File-Sharing Server. The company's file-sharing server is experiencing slow performance.  Diagnose and optimize the performance of the file-sharing server.,software issue
Software License Procurement. We need to purchase a new software license for project management. Procure a software license for project management and install it on the necessary devices.,purchase requisition
Ergonomic Chair Purchase. We're running low on ergonomic chairs for the office.  Order additional ergonomic chairs to improve employee comfort.,purchase requisition
"Customer Data Breach Incident. A customer has reported a data breach incident involving their account. Conduct a thorough investigation into the data breach, notify affected parties, and enhance data security measures.",privacy issue
Email Data Leakage Incident. An employee has mistakenly shared sensitive company information via email.  Review email security protocols and provide additional training to prevent such incidents.,privacy issue
User data found on dark web.. Recently some of our users data has been found for sale on the dark web. Inform our users about the compromise and look for any unusual activity on their accounts.,privacy issue
"Changes to privacy law. Due to a recent change in the laws regarding privacy and consumer data protection in the EU. Our data handling practices may need changing, so make the required changes and write a detailed report. Attached is a brief summary of the changes in law. For any additional information contact our law firm.",privacy issue
"Common bug. Many of our users have contacted us, regarding a bug where they are forcefully logged out and are unable log back in. They also complain they can't write any forum posts for help as it requires you to be logged in. Investigate and try to fix the issues.",software issue
Update issues. In our most recent update many employees have been experiencing major technical issues after our most recent update. The older computers especially have been experiencing this issue. Update their devices so they work correctly. ,software issue
Deprecated hardware. The entire logistical departments desktops are slow and out of date. Please provide desktop options that would be good for the next 5 to 10 years.,purchase requisition
Broken mouse. Tiffany recently accidently broke her mouse and we need another. Could you send what model mouse is best.,purchase requisition
New printer required. The old printer broke down and we need a new one. What specifications does a printer for the entire office require?,purchase requisition
Payment verification not sent. Several customers have contacted us regarding not recieving a payment verification email. Locate and fix the issue.,software issue
Delete account. Delete the accounts of all unused users,privacy issue
Phising emails. I have received several suspicious emails that appear to be phishing attempts. Block these email domains,privacy issue
Java update required. A Java update is required on all the Windows computers. Make a Java update script and run it on all the computers at once.,software issue
"Purchase Windows license keys. There will be five new custom made laptops, they still need a Windows license each. Buy five new Windows license keys",purchase requisition
Slack needs renewal. Our Slack system needs a renewal. Go to the dashboard billing and renew for one new extra year,purchase requisition
Microsoft Office Word compatibility issues . Microsoft Office Word seems to have compatibility issues with other software or applications some employees need to use for their daily tasks,software issue
Policies for new department . Make policies for the new department ,privacy issue
What data is stored from the employees. The employees want to know what data stored from them. Find out and give a presentation.,privacy issue
New software for front-end developers. The front-end developers want new software to work with. Check if the software is compatible with the current computers,software issue
CUDA for CPU use won’t work. For the AI training. We want to use the GPU. Check if all the requirements are met for using CUDA,software issue
Beamer is broken in meeting room 1. Check if you can repair the beamer else buy a new one.,purchase requisition
"Search methods to expand our app with AI . We want to upgrade our application with AI. Look for the best way to do this. For example, extra computing power, infrastructure, let a external company do it, … ",purchase requisition
"App suddenly closes. Hello I am getting this weird error 'NullPointerException' I am a normal salesperson and know nothing about IT. After some trial and error I have figured out if I rotate my phone the app crashes. Message appears, please help me thank you. ",software issue
"Dark mode broken. Your application is very unprofessional I can't seem to get the dark mode to work, also when I close it all my settings dissapear!! Should not be on the playstore total scam do not trust this company. Fix this.",software issue
"Data Subject Rights. I would like to opt out of your data processing program following the Article 17(1)(c) of the GDPR law. Do NOT use my personal and sensitive data to train on your models and give me personalized ads. In short, Stop using my personal data (in all valid forms as explained above). ",privacy issue
"Company Event Face removal. Hello I attended one of your international training programs and I see my face is publicly seen on facebook. I would like you to either blur it entirely so it is not recognizable anymore or that you remove the photo from the public. Please meddele with whomever is reponsible of this department, and provide feedback as soon as possible. ",privacy issue
Banner deal. We have partnered with NYC's Times Square billboards: Four of them will be broadcasting our brand for an interval of 30 seconds each four times a day. The budget and payment method for how long we keep doing this is still yet to be decided. Work on it and give me a cipher back. ,purchase requisition
"Non-Disclosure Agreement. NDA signed with a hacker who breached our systems to discuss financial gain in exchange for keeping vulnerability closed-doors, prioritizing security and ethical engagement. Make a market analysis and some research on previous cases whom had this happened to them as well and come back to me ASAP. ",purchase requisition
Customer data sync error. Customer changed their email on our website and it doesn't update correctly,software issue
"[URGENT] riots on the workfloor. Need a new coffee machine, the old one has failed the test of time",purchase requisition
"not so ""ergonomic"" chairs. After a recent poll it has come to our attention that 84% of our employees suffer from lower back pain and bad posture as a result of our seating. We need to be presented some options for new, more back-friendly chairs by the end of the day.",purchase requisition
PDF formattting issue. Adobe illustrator messes up my document's formatting when converting to a PDF,software issue
"The russians did it again. People who sign up for our services with their email have reported that their mails get flooded with fraudulent mails, leading us to believe there is some form of data breach going on.",privacy issue
"Fired employee can still acccess company services. John Doe, a recently fired employee, still has access to services that were previously required for him to do his job. Through these services he can see and alter; customer information and employee information. Please solve this post haste",privacy issue
Employee Data Privacy Concern. An employee has raised concerns about the privacy of their personal data. Please initiate a review of our privacy policies and address any issues or gaps identified.,privacy issue
Access Permission Audit. Conduct a review of user access permissions to ensure compliance with data privacy regulations. Identify and rectify any unauthorized access to sensitive data.,privacy issue
Laptop Procurement. We need to purchase ten new laptops for the finance department. Please provide quotes and specifications for laptops that meet our department's requirements.,purchase requisition
Office Software Licenses. Request to purchase additional licenses for the Microsoft Office suite to accommodate new hires. Provide cost estimates and procurement details.,purchase requisition
Email Configuration Problem. Some employees are experiencing issues with email configuration. Investigate and resolve any software-related problems affecting email functionality.,software issue
Fonza VOIP System Error. Some users experiencing version incompatibility with our VOIP application Forza. Please fix the issues for the users and make sure that they can use the app.,software issue
"New Users. Our company welcoming some new members next month to various teams. So they need laptops to be able to start working. Since they are joining different departments, their needs for laptops varies, check the list and contact vendors for costs enquiries.",purchase requisition
Local Language Selection. We need to be able to select the language within this app instead of it only being able to use our device language.,software issue
Slow database query. Some standard database queries take longer than an hour to complete. get this query time down to less than a minute.,software issue
"Extra cables for redundancy. For redundancy, we need to buy an extra ethernet cable per dedicated server.",purchase requisition
Server room Air Conditioning. The Server room is getting too hot. We need to buy an extra air conditioning unit.,purchase requisition
"Employee-Client E-mail confidentiality. When writing mass E-mails to clients, add all clients to BCC so that clients don't see each other's data.",privacy issue
Update Privacy Policy. Our Privacy Policy mentions some methods we have changed recently. Update the Privacy Policy to match the changes.,privacy issue
"Password Leak. My password has been leaked, as i've noticed unusal activity and unauthorized login attempts. I've changed my password and enabled two-factor authentication. Please investigate and help ensure my account's security.",privacy issue
leaked information. I believe that my personal information has been leaked. can i get someone to check this for me?,privacy issue
"code issue. My code does not want to compile no matter what i try, can i get a senior to help me?",software issue
"autocad. We will need autocad for the project that we are working on, can we please get permission to acquire a professional licence to use this software.",purchase requisition
"Software Update Needed. I need to request a purchase for the latest version of Spyder. My current version is outdated, and I am unable to log in until it is updated. Please let me know the next steps to proceed with this request.",purchase requisition
"Software Crash. I am experiencing an issue with our project management software, which frequently crashes when I try to open it.I have already tried restarting my computer and reinstalling the software, but the issue persists. Could you please look into this and provide a solution?",software issue
"PC Blue Screened. Dear Mr. / Mrs. When starting my pc it crached and now stuck with a bluescreen. Thank you in advance for your help!  Best regards, Terry Backerman",software issue
"Request for Purchase of New Laptop for Finance Team. I would like to request approval for the purchase of a new laptop to replace outdated equipment currently in use by the Finance Team. This is necessary to ensure seamless work on upcoming financial audits and reporting. With kind regards, Jimmy Lenards",purchase requisition
"Potential Unauthorized Access to Confidential Files. I have reason to believe that sensitive company data may have been accessed by an unauthorized individual within the organization. I noticed irregular activity in shared folders containing confidential files that should only be accessible by the Finance and HR teams. With kind regards, Jane Doe",privacy issue
"Request for Cloud Storage Subscription to Facilitate AI Model Training. Dear IT Team,  I would like to request the purchase of a cloud storage subscription to support our AI model development and data processing needs. As we are working with large datasets for training and testing machine learning algorithms, our current storage capacity is insufficient for efficient project handling. Additionally, cloud storage will enhance our ability to back up trained models and experiment results, ensuring the data is safe and recoverable if needed.  Please advise on the available options and how to proceed with the requisition.  Kind regards, Nelli Sahiian",purchase requisition
"License Expiration Error. Dear IT Team,  I am receiving a license expiration error in Adobe Photoshop, which is affecting my ability to use the software. The error message states that the license expired on October 5, 2024, but to my knowledge, the license was supposed to be valid until December 31, 2024.  Could you please verify the status of the license and assist in renewing or resolving this issue so I can continue working without interruptions?  Kind regards, Nelli Sahiian",software issue
"Password reset. Following the company's policy, our password resets every 3 months. I haven't logged in in a while and forgot the old one. I can't log in the request a new one. May i please get help?",privacy issue
"Request for New Laptops. Due to the increase in ""Work from home"" the development team requests company issued Laptop ,About 10 to be exact, to work from home.",purchase requisition
Unauthorized Access to Data. It appears that certain employees still have access to customer information which they shoouldn't have access to. Please update new employee security access to prevent this and other similiar issues,privacy issue
"Printer Command. It would seem that Computers on the Floor F3 have ran into a software problem where the Printer software Printmax is throwing up  errors when requesting the printing of a PDF and Word document, The software either need to be updated or completelty reinstalled ",software issue
"Microsoft OneDrive Sync Failure with Cloud Storage. Dear IT Team,  I am experiencing an issue with Microsoft OneDrive, which is failing to sync with our cloud storage service. This issue started yesterday, and it prevents me from accessing or uploading important files. Could you please investigate and advise on how to resolve this issue?  Kind regards, Nelli",software issue
"Unable to Access Corporate VPN. Dear IT Team,  I am currently unable to access the corporate VPN, which is preventing me from connecting to our internal network and accessing essential resources. Could you please investigate this issue and provide guidance on how to resolve it?  Kind regards, Nelli",software issue
"Update software problem. I updated the new software, but everytime i try to launch it, it crashes",software issue
Slow software. After the new update i noticed the software being sllower than usual. Is it because our laptops are not compatible anymore or are there issues with the new update?,software issue
"The printer doesnt work anymore. . When I try to print from my computer, i get the message, that the printing process failed. ",software issue
PyCharm License. My PyCharm license expired and i cannot access all the features that i need for development. ,software issue
Customer Emails leaked. I found out that our customer emails from our database are leaked on the internet. ,privacy issue
Headset broken. My headset broke down whiile talking to a customer. The microphone doesnt recognize my voice anymore. ,purchase requisition
"In RGB mode stuck, lightsaber has become. Hmm... a problem, there is. After installing the latest security update, broken my lightsaber has become. No longer stable, its blade is. RGB mode, it now displays—red, blue, green—flashing endlessly, it is. Balance, there is not. A disco, it seems to have become. Use in battle, impossible it now is.  A Jedi's tool, a toy it should not be. Fix it, you must.",software issue
Identity theft is not a joke. Somehow my account credentials have been leaking leading to someone getting hold of my personal information. My banking agency has already called me about someone ordering a small car load of balloons. After that someone tried to take a loan to set up a circus tent in the park. I've already blocked all accounts related to money but as it is I'm still looking like a clown due to all these things happening. More so with this makeup and rainbow wig I'm wearing right now.,privacy issue
"Stop sending me advertisements. I've received 20 emails from your company just today already. I don't know how you found my mail address but please stop it. When i woke up in the morning there was even a billboard add of you guys in my front yard. Please stop it. I don't know what i have done to wrong you but please make it stop. How did you even find out where i live as I've never made an account for your service. I'm scared for my life now, last thing i want is to find an advertisement next to my bed when i wake up. And that already happened yesterday so please stop. I'll buy your girl scout cookies but just make it stop please.",privacy issue
Printer Malfunction . Connection to printer doesn't work even after restarting both devices ,software issue
Software Installation Request . To finish Project y we need to Software f on company devices,software issue
Re-installing Office . Office has been deleted from all devices from devices of the accounting department ,software issue
Suspected Data breach. There has been unusual activity from my business email account which should get investigated due to privacy concerns ,privacy issue
Software update blocking production . Request to downgrade software due to unusual crashes since yesterdays update ,software issue
"My PC is running slow. My PC has been running slow for the past week, especially when using multiple applications at the same time.",software issue
My Work Email Isn’t Syncing on My Phone. My work email isn’t syncing properly on my mobile phone. I can’t receive or send emails when I’m not in the office. Can someone help fix this?,software issue
"I’m Concerned About a Privacy Breach. I’ve noticed some unusual activity on my account, and I’m concerned that my personal data might have been compromised. Can someone look into this and ensure my data is secure?",privacy issue
"Cannot access mail.. I have been having trouble with accessing my mail, when I try to login it keeps giving an error.",software issue
"ads . there are some random ads popping up on my screen, could you please help me with that issue?",software issue
Python environment is failing. My python environment is not compatible with the software you provided. Please fix this as soon as possible,software issue
"Password leaked. I believe my email account has been hacked can this be fixed as soon as possible , thank you.",privacy issue
"Buying new company T-shirts. I wish to buy the new available T-shirt from our company as soon as possible , Thx.",purchase requisition
"Visual studio plugin issue. For some reason visual studio is not working with the new plugin we just received from the App Dev team. Can this be reported to the App Dev team we really need it to make progress on our current projects, from the AI team",software issue
"New Gantt chart software. I believe that the software we bought last year is outdated and doesn't fit our needs. I hereby  wish to request the new Gantt chart software ""EC_Gantt"".  ",purchase requisition
Weird security logs on the main server. I've noticed weird transactions on the main server lately and want to raise concern about this. These transaction seem to be transferring a lot of data around. Can we address this issue as soon as possible ?,privacy issue
Windows server & AD. Active directory is failing due to our Windows server. please let systems security team know about this problem.,software issue
The toilets are not very secure. I've been at the company for at least 2 years now and the toilets still have major issues regarding employees safety and security. What if someone decides to do us (employees) any harm ? There are NO camera's that would notice that. Totally outragous !,privacy issue
"Buying request for new posters main office. Hey it's EC, from the marketing team here. I wish to put in a request for the new posters that will be put up in the main hall of the main office in Brussels. They should be ordered by friday and arrive on monday.  Many Thx,  ",purchase requisition
"HR issues - 57585. we noticed that employee's salary can be viewed and displayed by any other employee, without any security check.",privacy issue
"Internet not working. Hey it's EC from floor 25, idk but my internet isn't working on my PC. Can you guys fix this as soon as possible. I can't make any progress !",software issue
Anti-virus alerst. My Anti-virus keeps saying that i have 1200 virusses. Have I been hacked ? ,privacy issue
"new hardware - 12 Jetank and Jetracers. Hey , I need to buy 12 new Jetank's and Jetracers (€700 each) for the AI team can i make this purchase ?",purchase requisition
new poster order for open campus. It's the Marketing team again can we add 20 new poster orders to our previous order we require these for the open campus day at the ERM. Thx  ,purchase requisition
strange person at reception . Hey i wish to report that we have a strange person in a hoodie walking around on the front parking at the main entrance. Can the security team be noticed,privacy issue
To many places in the building with cameras. I feel like we're constantly being watched with all these camera's around in the building i want to file this issue as debate subject in the next meeting,privacy issue
"can't upload my SVG's. hey Design team here, we can't upload our SVG's to the cloud service that was provided to us. We really need it to collaborate.",software issue
strange USB sticks. I've noticed some USB sticks laying around on floor 12. Should i plug them in to see what they contain ?,privacy issue
New monitors. employees on floor 8 really require new desktop monitors,purchase requisition
"Problem regarding software activation. Dear, I write this ticket to inform that after install your software on my desktop pc, when I try to login using the credentials you gave me via email, an error is shown saying that they are not valid; however I am sure since I copy-pasted those credentials. I hope you can help me resolve this problem. Best Regards, Lorenzo Ferrari.",software issue
"Software crash when opening the project management tool.. Every time I try to launch the project management software, it crashes unexpectedly. Please investigate and provide a solution.",software issue
"Unable to log into the company email system after recent update.. After the recent system update, I can no longer log into my company email. I’ve tried resetting my password, but it still doesn’t work.",software issue
"Glitch in the accounting software causing incorrect expense reports.. The accounting software is showing incorrect figures in my department's expense reports, which makes budgeting difficult. Please look into it and fix the issue.",software issue
"Missing files after the latest software update. After the most recent software update, several important files seem to be missing from my shared drive. Requesting a recovery of the missing documents.",software issue
"Network lag in the team collaboration tool.. Experiencing significant lag when using the team collaboration software. The system often freezes during meetings, making it hard to communicate. Please investigate the cause of this issue.",software issue
"Request to purchase additional office supplies for the marketing department.. Our team is running low on basic office supplies, including pens, paper, and printer cartridges. Please approve the purchase of these items as soon as possible.",purchase requisition
Approval request for new software license for the design team.. The design team needs a new Adobe Creative Cloud license to complete our ongoing project. Requesting approval for the purchase.,purchase requisition
Privacy glass on the windows. It would be really nice to have privacy glasses on the windows of our corporate building. Working in front of the street with glass wall makes me feel uncomfortable.,privacy issue
The toilet door is transparent.. I don't know why. But who decided that it would be a good idea to have a transparent toilet door.,privacy issue
Use of my face on company's website.. I know that I am handsome but please I have not given my permission for my face to be displayed on the company's public platform. Please take it down asap and I would like to file for renumeration of 28568 dollars and 50 cents for misuse of my image. Thank you.,privacy issue
"It does not work. I am trying to login to the software but I cannot, it says invalid credentials. Please fix it asap since i have to submit important documents today!",software issue
Too many cameras. I've seen an increase in the number of cameras you have put inside the office. I think this is a violation of our rights and it does not help with the environment.,privacy issue
"Question about new model of tracking. Dear IT department, today when i opened my laptop, I find a new software was installed and after looking up a bit, I discover that this is a tracking system that is used to check what we do during our work hours. We did not receive any email regarding that and we would like to have a meeting to discuss these actions.",privacy issue
"Installation for Linux. Dear, during the meeting with the managers, they told me the software we would be using was also available on linux, however when I got to the site for installing it, the only available option is Windows. May I ask where I can find the software installation package for my OS if there is any. Thanks.",software issue
"Installation for MacOS. Hey there, I was trying to install the software using my laptopt M1, but I can't find the section about apple. Can you give me the link/download or help me installing it.",software issue
"Broken pc. Hey, last Thursday my pc fell to the floor and I wanted to know the procedure to require a new one. Sorry for the inconvenience and thanks in advance.",purchase requisition
"Custom keyboard inquire. Dear Team, Lorenzo's here, when I go to the office and I try to do my job, I always take more time than needed since I don't have my keyboard with me. Can I ask for a keyboard only for office hours?",purchase requisition
"Problem with the new face detection. Dear IT Department. I've heard from colleague that you have started using cameras for face detection, however we don't remember signing any contract about that. Also why would you need one? WE are looking for more explanations about this topic. Best Regards, Lorenzo Ferrari.",privacy issue
"Software crashes during login. Hey there. When I open the software to do my job, it has been crashing once I put my credentials. It says something like ""unable to connect to database"", what does that mean? Can you fix it please?.",software issue
"Training dataset contains unsanitized personal contact details. While performing a routine audit of customer_feedback_training_v4.csv I discovered multiple rows that still contain personally identifying information: full names, personal email addresses and several phone numbers in the contact_info column. The file was supposedly anonymized before ingestion into our feature store, but these rows appear to be original raw records that slipped through. I sampled 250 rows and found ~12 rows with obvious PII. This is a potential compliance risk if that dataset was used for any offline model training or shared across teams. Could someone (a) confirm whether a sanitized copy exists, (b) temporarily remove the public share link, and (c) advise whether we should trigger a re-training notification for models that used this dataset between Aug 10–Sep 02?",privacy issue
"Model deployment pipeline fails at Docker build. The continuous deployment job deploy-llm-service failed repeatedly during the Docker build step on Jenkins agent build-12. The failure message indicates ModuleNotFoundError: No module named 'torch' when python -c ""import torch"" is executed inside the image. The Dockerfile uses python:3.10-slim as base and installs requirements from requirements.txt. My suspicion: the base image lacks the correct wheel infrastructure or we are pinning incompatible CUDA/PyTorch versions. The build log snippet:",software issue
"Edge AI kit: 2× Raspberry Pi 5, 2× Coral USB accelerators and accessories. Our edge-prototyping subgroup requests the following items to build an on-device speech recognition prototype: 	2 × Raspberry Pi 5 (8 GB variant) 	2 × Coral USB Edge TPUs (for accelerating TFLite models) 	2 × 128 GB high-endurance microSD cards 	Passive heatsinks and small-case enclosures with ventilation 	Reason: we need to benchmark offline keyword spotting latency and power consumption for the field device. Please include recommended suppliers and lead times; if discounts exist for academic or volume purchases, those would be appreciated.",purchase requisition
"New high-performance dev workstation to run local experiments. My current development laptop cannot handle practical on-device training or local model builds. Request approval to procure a new developer workstation configured with: AMD Ryzen Threadripper (or Intel Xeon equivalent), 64 GB DDR5 RAM, 2 × 1 TB NVMe in RAID-1, a high-end GPU (e.g., RTX 5090), and a 27” 4K monitor. Use case: local model compilation, dataset preprocessing and interactive debugging of large experiments. Happy to provide exact SKU preferences and justification for the ROI (reduced cloud costs, improved developer throughput). Please advise next steps for procurement and whether we should open a CAPEX ticket.",purchase requisition
"Mobile app crashes when opening camera. Hi Mobile Team, opening the camera inside the app causes an immediate crash on Android 12 devices. Error occurs when tapping “Scan Document.” Repro: open app → tap Scan → app closes. Logs show a camera permission exception on some devices though permissions are granted. Need a fix or safer permission check.",software issue
"Exported PDF missing images. Hello, when exporting reports to PDF, embedded images are missing or replaced with placeholders. Text exports fine. Repro: open monthly report with screenshots → Export → download PDF → images not included. Might be related to image encoding or external CDN fetch.",software issue
"Incorrect error message shown on permission denied. Hi Support, when a user without access tries to view a resource, the app shows “Resource not found” instead of “Permission denied.” This misleads users. Please return 403 with a clear message so users understand it’s a permissions issue.",software issue
Button disabled with no explanation. The “Submit Request” button remains disabled on the form even when all required fields are filled. No validation messages appear. Users assume bug. Repro: fill form completely and button is gray. Need client-side validation messages or enable the button.,software issue
"Voice assistant behavior unclear. Some users mentioned that their voice commands on the mobile assistant sometimes appear to be stored, although they thought they had turned off the “Record history” option. It’s unclear whether this happens consistently or only for certain features like reminders or search queries. Also, the app shows notifications about recent activity which might confuse users, and logs may or may not include the exact phrases spoken. We should investigate whether the data is actually saved anywhere and review how the documentation explains this behavior, because some users reported mixed experiences with both Android and iOS devices.",privacy issue
ticketing system. how do i submit a ticket to the it team?,software issue
"password. well hello dear IT team it has come to my attention that i forgot my password again can you please fix this and give me a new password also can you lift the password restrictions i like my new password to be ""root"" that seems easy to remember",software issue
Sticky Keyboard. IT team can you come and replace my keyboard i have spilled soda on it and now it is very sticky my fingers are sticking to the keyboard just typing this message,purchase requisition
Beamer Issue. hello bob its me again tomy can you come to the conference room and check out the beamer it stopped working again i dont know how all i know is that it was repasted 3 times already this month and that every time i want to give my presentation it breaks thanks,software issue
Data Breach. dear it team i got a mail from sara of hr team she said she was sick and working from home and asked me to put all the names emails and telephone numbers and other info of all our customers in a text file and then send that file to her via email so i did that small problem turns out there is no sara in the hr team so i dont know who it is that sent the email well sorry about that just wanted to give a heads up about the data breach ps please dont tell my boss about this thanks,privacy issue
Company Card for Lunch. can i use the company card for my lunch?,purchase requisition
Im working. well im bored so im making a ticket so i look busy.,privacy issue
Request for New Laptop. dear it team is possible for me to get a new laptop my Os e 1 from 1981 is getting a bit slow thanks,purchase requisition
Usb parking lot . well i found a usb stick in the parking lot and plugged it in my pc now i cant log in on my pc typing this ticket on my phone ps nobody can log in you will probably get a lot more tickets about this,privacy issue
Login Issue Anna. hello IT team anna here i cant log in on my pc it just keeps asking for my password typing this ticket on my phone,software issue
Login Issue Mark. hi IT team mark cant log in on my pc none of my passwords are working i tried restarting but still nothing,software issue
Login Issue. dear IT team lisa here i cant access my computer at all it just stays on the login screen typing this ticket on my phone,software issue
Database Security Issue. hey susie here i was working on the database and i just found out all our login data usernames and passwords are saved in plain text i can see everybody's login and password this seems like a huge security risk,privacy issue
Phone Request. john here i need a new phone my old nokia 3310 is getting too old can i get a windows phone instead,purchase requisition
Printer scan . How do i scan a docment to my pc ? ,software issue
"Login . What's my username and password? It's my first day here. Employee ID: 0012B5842. Best regards, Xandress.",software issue
"Lockt out. Well, I'm locked out of my account due to too many password attempts. Best regards, Xandress",software issue
"Car. Can I get a company car? Best regards, Xandress",purchase requisition
Windows xp. Its 2025 why is this comany still using windows xp? ,software issue
"Unintended visibility of employee information. While reviewing data on our internal HR portal, I noticed that information related to other employees appears under my account view.",privacy issue
"Authentication not recognized. When attempting to access the company dashboard, my credentials are repeatedly declined despite multiple verifications. Could you please verify if there have been recent changes in authentication policy or user registration?",software issue
"Request for upgraded display equipment. Due to ongoing visual strain while working on design-related tasks, I would like to request a higher-resolution monitor compatible with my current workstation.",purchase requisition
Shared document permissions appear overly broad. A number of shared documents within our department are accessible to employees outside the intended workgroup.,privacy issue
"Application performance degradation post-update. Following the most recent update, the financial management software has experienced severe performance drops, including prolonged loading times and unresponsive menus.",software issue
"Replacement of malfunctioning input device. My current keyboard intermittently fails to register keystrokes, significantly slowing down report preparation. I would appreciate a replacement when feasible.",software issue
"Persistent connection instability when using VPN. While working remotely, my VPN connection frequently disconnects, interrupting access to essential resources",purchase requisition
"Request for updated design software license. The current license for my design application appears to have expired, preventing file export and collaboration. Kindly initiate the renewal process or assign an active license.",software issue
"System not saving my recent work. I’ve noticed that the system occasionally fails to save my recent updates, even though no error message appears. Could you please look into this issue?",software issue
printer. how do print som ting on the printers here?,software issue
login. can you reset my pasword ? my users name is dumy123 kind thanks in advantd dumy,software issue
Application Error. Our accounting software keeps crashing. Investigate and resolve the issue as it's affecting our daily operations.,software issue
Printer Malfunction. Users are reporting difficulties logging into the CRM system. Please investigate and restore access.,software issue
Laptop Won't Boot. Data is missing from the database. Perform a data recovery and investigate the cause of the data loss.,software issue
Software Update Problems. Requesting an update to the project management software to fix bugs and improve functionality.,software issue
Monitor Display Issue. Our email client is not syncing properly with our mail server. Resolve the synchronization problem.,software issue
Slow Network Connection. The license key for our antivirus software is expiring soon. Please renew it to ensure system security.,software issue
Keyboard Not Responding. The printer driver needs updating as it's not working with the latest operating system. Update the driver for compatibility.,software issue
New Laptops Needed. We need to purchase five new laptops for the marketing team. Please provide quotes and specifications.,purchase requisition
Printer Replacement. Our office printer is malfunctioning. We require a new one. Please advise on suitable models and pricing.,purchase requisition
Software License Renewal. The license for our project management software is expiring soon. We need to renew it for another year.,purchase requisition
Request for Monitor Upgrade. The design team needs upgraded monitors with higher resolution. Please provide options and costs.,purchase requisition
Network Cable Installation. We require the installation of network cables in the new office area. Please estimate the length and cost.,purchase requisition
External Hard Drive Purchase. We need to buy external hard drives for data backups. Suggest reliable brands and pricing.,purchase requisition
Cloud Storage Subscription. We're running out of cloud storage space. Please renew our subscription and expand the capacity.,purchase requisition
UPS Replacement. Our uninterruptible power supply (UPS) unit is failing. We need a new one to protect our servers.,purchase requisition
IT Training Request. Requesting training sessions for our team to enhance their IT skills. Provide course details and pricing.,purchase requisition
Firewall Upgrade. Our current firewall is outdated. Please recommend and quote for a more secure solution.,purchase requisition
Data Breach Report. We suspect a data breach incident. Please investigate and take immediate action to secure sensitive information.,privacy issue
Access Control Review. Conduct a review of user access permissions to ensure data privacy compliance. Identify and rectify any unauthorized access.,privacy issue
Privacy Training Request. We need to organize privacy awareness training for our employees to comply with data protection regulations.,privacy issue
GDPR Compliance Audit. We require a comprehensive audit to ensure compliance with the General Data Protection Regulation (GDPR).,privacy issue
Privacy Policy Update. Our privacy policy needs to be updated to reflect recent changes in data privacy regulations. Please make necessary revisions.,privacy issue
Vendor Data Handling Assessment. Assess how our vendors handle our data and ensure they meet our privacy and security standards.,privacy issue
Privacy Impact Assessment. Conduct a Privacy Impact Assessment (PIA) for a new project to identify and mitigate privacy risks.,privacy issue
Incident Response Plan Review. Review and update our privacy incident response plan to address any gaps in handling data privacy breaches.,privacy issue
